year,local,pop_h,pop_m,e0_t,e60_t
2018,Brasil,100895555,105633483,75.9902268405237,22.2067809728665
2019,Brasil,101551234,106348865,76.2211006556923,22.254799621507
2020,Brasil,102140954,107023935,74.8090053456845,21.1696147339719
2021,Brasil,102550853,107552789,72.7843019207654,20.0840385466633
2022,Brasil,102875114,107987869,75.448044104081,21.6193857538322
2023,Brasil,103251553,108443605,76.3884546784577,22.4707736848205
2024,Brasil,103662286,108921464,76.6057109845871,22.5909397271293
2045,Brasil,106861156,113184535,80.5400817769388,24.7241440858602
